"仓库(填写编号，例如001,002)",物流方式（填写名称，比如Fedex Ground）,国家简码,邮编起,邮编止,属性(填写数字：0普通 1偏远 2超级偏远),备注
004,MBB DEUPS,DE,18561,18565,1,
004,MBB DEUPS,DE,25846,25849,1,
004,MBB DEUPS,DE,25859,25859,1,
004,MBB DEUPS,DE,25863,25863,1,
004,MBB DEUPS,DE,25869,25869,1,
004,MBB DEUPS,DE,25929,25999,1,
004,MBB DEUPS,DE,26453,26486,1,
004,MBB DEUPS,DE,26533,26548,1,
004,MBB DEUPS,DE,26557,26579,1,
004,MBB DEUPS,DE,26737,26757,1,
004,MBB DEUPS,DE,27483,27499,1,
004,MBB DEUPS,DK,3700,3799,2,
004,MBB DEUPS,DK,4592,4592,2,
004,MBB DEUPS,DK,8305,8305,2,
004,MBB DEUPS,DK,8592,8592,2,
004,MBB DEUPS,DK,9940,9940,2,
004,MBB DEUPS,FI,87000,99999,2,
004,MBB DEUPS,FR,20000,20999,2,
004,MBB DEUPS,IT,87018,87018,2,
004,MBB DEUPS,IT,87022,87022,2,
004,MBB DEUPS,IT,87027,87029,2,
004,MBB DEUPS,IT,87032,87032,2,
004,MBB DEUPS,IT,87041,87041,2,
004,MBB DEUPS,IT,87045,87045,2,
004,MBB DEUPS,IT,87051,87051,2,
004,MBB DEUPS,IT,87053,87054,2,
004,MBB DEUPS,IT,87060,87060,2,
004,MBB DEUPS,IT,87064,87064,2,
004,MBB DEUPS,IT,87067,87067,2,
004,MBB DEUPS,IT,88050,88050,2,
004,MBB DEUPS,IT,89010,89011,2,
004,MBB DEUPS,IT,89018,89018,2,
004,MBB DEUPS,IT,89025,89025,2,
004,MBB DEUPS,IT,89031,89032,2,
004,MBB DEUPS,IT,89034,89034,2,
004,MBB DEUPS,IT,89040,89040,2,
004,MBB DEUPS,IT,89044,89044,2,
004,MBB DEUPS,IT,89046,89048,2,
004,MBB DEUPS,IT,89900,89900,2,
004,MBB DEUPS,IT,90010,90010,2,
004,MBB DEUPS,IT,90016,90016,2,
004,MBB DEUPS,IT,90022,90022,2,
004,MBB DEUPS,IT,90024,90024,2,
004,MBB DEUPS,IT,90029,90029,2,
004,MBB DEUPS,IT,90032,90032,2,
004,MBB DEUPS,IT,90034,90036,2,
004,MBB DEUPS,IT,91010,91010,2,
004,MBB DEUPS,IT,91020,91020,2,
004,MBB DEUPS,IT,92010,92010,2,
004,MBB DEUPS,IT,92016,92016,2,
004,MBB DEUPS,IT,92029,92029,2,
004,MBB DEUPS,IT,93013,93013,2,
004,MBB DEUPS,IT,93015,93015,2,
004,MBB DEUPS,IT,93017,93017,2,
004,MBB DEUPS,IT,93019,93019,2,
004,MBB DEUPS,PT,9000000,9999999,2,
004,MBB DEUPS,ES,35001,35059,2,
