"仓库(填写编号，例如001,002)",物流方式（填写名称，比如Fedex Ground）,国家简码,邮编起,邮编止,属性(填写数字：0普通 1偏远 2超级偏远),备注
004,MBB DEUPS,,DE_18561,,1,,
004,MBB DEUPS,,DE_18562,,1,,
004,MBB DEUPS,,DE_18563,,1,,
004,MBB DEUPS,,DE_18564,,1,,
004,MBB DEUPS,,DE_18565,,1,,
004,MBB DEUPS,,DE_25846,,1,,
004,MBB DEUPS,,DE_25847,,1,,
004,MBB DEUPS,,DE_25848,,1,,
004,MBB DEUPS,,DE_25849,,1,,
004,MBB DEUPS,,DE_25859,,1,,
004,MBB DEUPS,,DE_25863,,1,,
004,MBB DEUPS,,DE_25869,,1,,
004,MBB DEUPS,,DE_25929,,1,,
004,MBB DEUPS,,DE_2593,,1,,
004,MBB DEUPS,,DE_2594,,1,,
004,MBB DEUPS,,DE_2595,,1,,
004,MBB DEUPS,,DE_2596,,1,,
004,MBB DEUPS,,DE_2597,,1,,
004,MBB DEUPS,,DE_2598,,1,,
004,MBB DEUPS,,DE_2599,,1,,
004,MBB DEUPS,,DE_26453,,1,,
004,MBB DEUPS,,DE_26454,,1,,
004,MBB DEUPS,,DE_26455,,1,,
004,MBB DEUPS,,DE_26456,,1,,
004,MBB DEUPS,,DE_26457,,1,,
004,MBB DEUPS,,DE_26458,,1,,
004,MBB DEUPS,,DE_26459,,1,,
004,MBB DEUPS,,DE_2646,,1,,
004,MBB DEUPS,,DE_2647,,1,,
004,MBB DEUPS,,DE_26480,,1,,
004,MBB DEUPS,,DE_26481,,1,,
004,MBB DEUPS,,DE_26482,,1,,
004,MBB DEUPS,,DE_26483,,1,,
004,MBB DEUPS,,DE_26484,,1,,
004,MBB DEUPS,,DE_26485,,1,,
004,MBB DEUPS,,DE_26486,,1,,
004,MBB DEUPS,,DE_26533,,1,,
004,MBB DEUPS,,DE_26534,,1,,
004,MBB DEUPS,,DE_26535,,1,,
004,MBB DEUPS,,DE_26536,,1,,
004,MBB DEUPS,,DE_26537,,1,,
004,MBB DEUPS,,DE_26538,,1,,
004,MBB DEUPS,,DE_26539,,1,,
004,MBB DEUPS,,DE_26540,,1,,
004,MBB DEUPS,,DE_26541,,1,,
004,MBB DEUPS,,DE_26542,,1,,
004,MBB DEUPS,,DE_26543,,1,,
004,MBB DEUPS,,DE_26544,,1,,
004,MBB DEUPS,,DE_26545,,1,,
004,MBB DEUPS,,DE_26546,,1,,
004,MBB DEUPS,,DE_26547,,1,,
004,MBB DEUPS,,DE_26548,,1,,
004,MBB DEUPS,,DE_26557,,1,,
004,MBB DEUPS,,DE_26558,,1,,
004,MBB DEUPS,,DE_26559,,1,,
004,MBB DEUPS,,DE_2656,,1,,
004,MBB DEUPS,,DE_2657,,1,,
004,MBB DEUPS,,DE_26737,,1,,
004,MBB DEUPS,,DE_26738,,1,,
004,MBB DEUPS,,DE_26739,,1,,
004,MBB DEUPS,,DE_2674,,1,,
